Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Spacies,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
They Bleed Pixels,71.0,77.5,2.0,2.63,55.0,384.0,700.0,9.5,2.0,4.5,33.599999999999994,132,132,0.0,0.0,9
Overboard!,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,164,164,1.0,1.0,9
NoseBound,36.5,55.0,2.0,3.55,18.0,768.0,950.0,10.5,7.5,18.5,60.8,764,1064,4.0,4.0,9
blackguards 2,70.5,65.0,2.0,3.0,48.5,256.0,700.0,10.0,3.5,7.5,22.4,132,764,12.0,12.0,9
Warhammer: The End Times - Vermintide,36.5,45.0,4.0,4.15,11.0,1024.0,1050.0,11.5,18.0,36.0,96.0,764,764,20.0,30.0,11
S.T.A.L.K.E.R : Lost,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
War of the Roses: Kingmaker,35.0,65.0,2.0,2.215,65.0,512.0,900.0,10.05,9.5,26.0,57.6,764,764,5.0,5.0,11
Legend of Mana,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,15.0,15.0,11
Valheim,0.0,55.0,4.0,3.1,14.0,2560.0,1514.0,11.6,34.0,87.5,184.9,764,764,1.0,1.0,11
The Colonists,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,2.0,2.0,9
Planet Coaster - Quick Draw Interactive Shooting Ride,36.5,32.0,4.0,3.7,27.0,1536.0,1100.5,11.05,27.0,50.0,140.85,764,764,8.0,8.0,11
Doctor Who: The Edge Of Time,50.0,27.0,6.0,3.4000000000000004,14.0,4096.0,1701.0,12.05,42.0,110.5,161.64999999999998,1064,1064,5.0,5.0,11
Vampire: The Masquerade - Swansong,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,1064,764,40.0,40.0,11
Pizza Connection 3,36.5,27.0,3.0,3.8,27.0,1536.0,1008.0,11.05,13.5,27.5,50.25,264,1064,2.5,2.5,11
Roundabout,67.0,65.0,2.0,3.45,32.0,768.0,850.0,11.0,4.0,13.0,40.0,132,764,4.0,4.0,9
Blackguards: Untold Legends,35.0,65.0,2.0,2.215,65.0,384.0,850.0,10.0,4.0,8.5,27.2,132,764,20.0,20.0,9
Cities In Motion,66.5,90.0,1.0,2.05,65.0,512.0,600.0,9.5,1.0,2.0,19.200000000000003,132,132,2.0,2.0,9
Slayaway Camp,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Tiger Woods PGA Tour 12: The Masters,30.5,110.0,1.5,2.15,65.0,192.0,272.5,9.0,0.0,0.0,6.550000000000001,132,0,6.0,6.0,9
Dead Island: Epidemic,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,6.0,6.0,9
