Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Endless Legend: Shadows,36.5,55.0,3.5,3.5,32.0,1024.0,950.0,11.5,23.5,37.5,121.6,264,764,4.0,4.0,9
Total War: Rome 2 Nomadic Tribes Culture Pack,66.0,65.0,2.0,2.95,38.5,384.0,750.0,10.05,3.0,7.0,17.6,132,764,35.0,35.0,9
Doctor Who: The Runaway,36.5,27.0,6.0,3.65,27.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,2.0,2.0,11
Prius Anima Online,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,10.0,10.0,9
The Marching Dead,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Watch Dogs 2: No Compromise,64.0,32.0,5.0,3.1500000000000004,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,764,50.0,50.0,11
Wing Commander Saga: The Darkest Dawn,0.0,155.0,1.0,2.53,110.0,192.0,300.0,8.5,1.0,1.0,4.800000000000001,132,132,6.0,6.0,9
Combat Force,0.0,32.0,5.0,3.2,13.0,1024.0,950.0,11.5,23.5,37.5,121.6,764,1064,16.0,16.0,11
The Elder Scrolls Online,36.5,32.0,3.0,3.5,32.0,1024.0,1001.0,11.0,25.0,40.5,128.15,764,764,85.0,85.0,11
Metal Gear Solid V: The Phantom Pain,36.5,27.0,6.0,4.15,11.0,2048.0,1125.0,11.05,20.0,43.0,104.0,764,864,28.0,28.0,11
Train Sim World: CSX Heavy Haul,36.5,27.0,5.0,3.5,18.0,2048.0,1375.0,11.2,23.5,58.5,132.8,764,1064,20.0,0.0,10
Astra Exodus,36.5,45.0,4.0,3.5,18.0,768.0,946.5,11.05,16.0,31.5,89.4,864,1064,4.0,4.0,9
Homefront: The Revolution - Beyond the Walls,36.5,27.0,4.0,3.4,32.0,1536.0,1313.5,11.5,22.0,57.5,116.15,764,764,38.0,38.0,11
The Bug Butcher,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,10.0,10.0,9
Ether One,37.0,65.0,2.0,3.23,45.0,512.0,395.0,10.1,2.0,6.5,12.65,132,764,3.0,3.0,9
Omerta: City of Gangsters - The Japanese Incentive,35.0,77.5,2.0,2.165,65.0,320.0,750.0,10.0,5.0,16.0,30.4,132,764,5.0,5.0,9
Pro Evolution Soccer 2008,0.0,180.0,1.0,2.5,90.0,96.0,375.0,7.55,0.0,0.0,6.0,132,132,4.0,4.0,9
Moebius The Game,66.5,155.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,764,0.0,0.0,9
Gensou Skydrift,87.5,55.0,4.0,3.1,27.0,512.0,1083.5,10.55,9.5,33.5,52.25,764,1064,3.0,3.0,11
Kingdom Come: Deliverance,52.5,38.5,4.0,3.7,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,764,40.0,40.0,11
Neverwinter Nights: Enhanced Edition,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,10.0,10.0,9
WTCC 2010,0.0,130.0,1.0,2.5835,110.0,256.0,325.0,9.0,0.0,0.0,5.2,132,132,4.0,5.0,9
Formula Truck 2013,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Moonbase Commander,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Global Ops: Commando Libya,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,6.0,6.0,9
Wonkey Wizard,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Earth Defense Force: Iron Rain,36.5,23.0,5.0,3.45,18.0,1536.0,1425.0,11.15,16.5,49.5,91.2,764,1064,24.0,24.0,11
Saints Row 3: Funtime!,71.0,65.0,2.0,2.65,55.0,320.0,815.0,10.05,9.0,18.5,45.75,132,732,10.0,10.0,9
Aircar,0.0,27.0,6.0,3.8,23.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,1.2,1.2,11
Anno 1800,36.5,27.0,5.0,3.5,18.0,2048.0,1438.5,11.55,30.0,106.5,184.15,764,1064,60.0,60.0,11
The Alto Collection,32.5,65.0,2.0,3.2,33.5,768.0,950.0,10.5,17.5,35.5,92.8,764,764,0.0,0.0,11
Project Amalthea: Battlegrounds,70.0,55.0,2.0,2.85,38.5,256.0,600.0,10.0,2.0,3.0,8.0,132,1064,0.0,0.0,9
DARQ,36.5,38.5,3.0,3.7,32.0,704.0,949.5,10.05,14.0,33.5,113.55,764,1064,3.0,3.0,10
Dead Space 4,36.5,77.5,2.0,2.465,55.0,384.0,445.0,9.0,0.0,0.0,22.25,132,732,10.0,10.0,9
Mega Man 11,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,15.0,15.0,11
Parkasaurus,70.0,55.0,3.0,2.85,38.5,768.0,900.0,11.05,5.5,13.0,21.6,764,1064,3.0,3.0,11
Space Ship Alvue,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Rainbow Six: Siege,67.0,38.5,3.0,3.2,32.0,1024.0,1050.0,11.5,18.0,36.0,96.0,764,764,50.0,50.0,11
Battle for Graxia,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,3.0,3.0,9
Story Of Seasons: Friends Of Mineral Town,36.5,32.0,5.0,3.15,32.0,1024.0,979.0,11.5,8.5,26.5,31.3,864,1064,2.0,2.0,11
Avorion,71.0,65.0,2.0,2.58,45.0,768.0,1225.0,11.05,15.5,34.0,78.4,764,764,0.0,1.0,0
Overcooked! All You Can Eat,69.5,55.0,3.5,2.9,38.5,1024.0,1026.0,11.0,12.0,25.0,65.65,764,764,8.0,8.0,11
Goat of Duty,70.0,38.5,2.5,3.23,36.5,1792.0,1201.0,12.0,34.0,55.5,185.8,764,1064,5.0,5.0,0
Radical Heights,0.0,32.0,5.0,3.35,14.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,6.0,6.0,11
Sins of a Solar Empire: Entrenchment,72.5,180.0,1.0,2.35,65.0,192.0,337.5,9.0,0.0,0.0,5.4,132,132,0.0,0.0,9
"Warhammer 40,000: Shootas, Blood & Teef",72.0,32.0,3.0,2.85,32.0,640.0,850.0,10.55,2.5,8.0,20.8,864,864,3.0,3.0,11
Banished,70.5,77.5,1.0,3.065,38.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
UnderRail,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,2.0,2.0,9
Sims 3: Pets,66.5,155.0,1.0,2.05,65.0,192.0,137.5,9.0,0.0,0.0,4.4,132,132,3.5,3.5,9
Golf With Your Friends,32.5,77.5,1.5,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,264,764,4.0,4.0,9
Initia: Elemental Arena,52.5,45.0,4.0,3.7,27.0,1280.0,962.0,11.0,28.5,47.0,152.7,764,1064,7.0,20.0,9
Total War SHOGUN 2: The Hattori Clan Pack,37.0,130.0,1.0,3.165,45.0,256.0,325.0,9.5,2.0,2.0,8.4,132,732,0.0,0.0,9
Shiny The Firefly,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Lego Harry Potter: Years 5-7,66.5,65.0,2.0,2.75,45.0,384.0,450.0,9.55,5.5,12.5,22.4,132,0,9.0,9.0,9
Kingdoms of Amalur: Reckoning,71.0,65.0,2.0,2.5,55.0,192.0,400.0,10.05,3.5,13.0,19.2,132,132,10.5,10.5,9
Giraffe and Annika,50.0,23.0,5.0,3.25,14.0,2048.0,1425.0,11.6,17.0,46.5,91.2,1064,1064,4.0,4.0,10
Crysis 3,68.0,45.0,2.0,2.6,38.5,768.0,850.0,11.0,3.0,5.5,20.0,232,764,20.0,20.0,11
Endless Dungeon,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Spectro,33.0,55.0,2.0,2.95,27.0,4096.0,1751.5,12.0,53.5,152.5,224.2,764,1064,1.0,1.0,11
System Shock Remake,52.5,32.0,6.0,3.7,27.0,2048.0,1351.0,11.1,31.5,95.0,172.95,764,764,2.0,2.0,11
"Warhammer 40,000: Sanctus Reach",32.5,77.5,1.5,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,732,764,2.0,2.0,9
Pirates Outlaws,52.5,27.0,6.0,3.5,18.0,768.0,900.0,11.0,4.0,14.5,57.6,1064,1064,2.0,2.0,11
ArmA II,68.0,77.5,2.0,2.95,55.0,256.0,650.0,9.0,0.0,0.0,41.6,132,132,10.0,10.0,9
6180 the moon,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Sonic Adventure 2,72.5,110.0,1.0,2.5,65.0,384.0,850.0,10.05,6.5,20.0,41.6,132,732,3.0,6.0,9
Mafia 2,35.5,77.5,2.0,2.4,77.5,256.0,600.0,10.0,3.0,7.0,19.2,132,132,8.0,10.0,9
Mauv,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
The Legend of Heroes: Trails of Cold Steel III,35.5,38.5,3.0,3.1,23.0,1024.0,1237.5,11.1,15.5,49.5,79.2,764,1064,25.0,25.0,11
Men of War: Assault Squad 2 - Cold War,36.5,32.0,5.0,3.5,23.0,1024.0,1751.0,12.05,33.0,62.5,56.05,764,1064,15.0,15.0,11
Cricket Captain 2018,39.0,65.0,2.0,2.45,65.0,768.0,649.0,11.0,2.5,4.5,10.4,732,764,2.0,2.0,10
Wasteland Remastered,68.5,38.5,3.0,2.85,43.5,640.0,650.0,11.0,3.0,5.5,10.4,864,1064,4.0,4.0,11
Rogue Trooper Redux,35.5,90.0,2.0,2.98,45.0,512.0,963.0,10.55,7.5,12.5,61.65,232,764,18.0,18.0,11
Shadow Warrior 2013,37.0,65.0,2.0,3.23,45.0,768.0,950.0,11.5,13.0,23.5,89.6,132,764,8.0,8.0,9
Lumote,36.5,27.0,6.0,3.25,27.0,2560.0,1626.0,11.6,33.5,133.5,256.15,764,1064,2.0,2.0,11
Warhammer 40000: Space Wolf,66.5,65.0,2.0,2.45,65.0,768.0,450.0,10.6,3.0,6.5,7.2,732,764,3.0,10.0,11
Tetris Effect: Connected,36.5,18.0,3.0,3.4,18.0,2048.0,1375.0,11.2,23.5,51.0,132.8,1064,1064,5.0,5.0,11
Lightrise,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Resident Evil 5,35.5,90.0,1.5,2.85,55.0,256.0,250.0,9.5,3.0,3.0,16.0,132,232,8.0,8.0,9
S.T.A.L.K.E.R.: Clear Sky,66.5,130.0,1.0,2.165,77.5,192.0,325.0,9.0,0.0,0.0,5.2,132,132,10.0,10.0,9
BulletRage,36.5,27.0,3.0,3.3,27.0,1536.0,1008.0,11.05,10.0,24.0,50.25,764,1064,2.0,2.0,11
Avowed,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Tiger Knight: Empire War,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,732,764,10.0,10.0,9
Spellbreak,36.5,48.5,3.0,3.15,32.0,2048.0,895.5,11.1,10.0,22.5,28.65,764,1064,20.0,20.0,11
GoNNER,35.0,65.0,2.0,2.265,65.0,384.0,637.5,9.0,0.0,0.0,40.8,232,232,1.0,0.0,9
Micro Machines World Series,36.5,33.5,2.5,3.5,27.0,1024.0,900.0,11.0,4.0,13.0,28.8,764,1064,5.0,5.0,11
Hidden Folks,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Fate of the World Migration DLC,35.0,180.0,1.0,2.2,97.5,320.0,550.0,9.5,1.0,2.5,6.8,132,0,0.0,0.0,9
Lady Hammerlock the Baroness,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Call of Duty - Black Ops 2: Apocalypse,36.0,65.0,2.0,2.83,45.0,768.0,800.0,10.05,7.5,17.5,40.0,732,764,10.0,10.0,11
Silent Hill: Homecoming,73.0,77.5,2.0,2.615,55.0,256.0,600.0,9.5,1.0,2.5,19.2,132,132,10.0,10.0,9
The Marvellous Miss Take,65.5,55.0,2.5,3.05,38.5,256.0,450.0,10.0,1.5,2.5,11.2,732,764,0.0,0.0,9
Batman: A Telltale Game Series - Episode 4: Guardian of Gotham,36.5,65.0,2.0,3.3,32.0,768.0,725.0,10.55,12.0,20.5,59.2,764,764,5.0,5.0,11
Rescue HQ - The Tycoon,65.5,32.0,3.0,3.3,38.5,2048.0,1375.0,11.2,23.5,51.0,132.8,764,1064,0.0,0.0,11
Street Fighter 30th Anniversary Collection,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,132,764,15.0,15.0,9
Arma II: Operation Arrowhead,68.0,77.5,2.0,2.95,55.0,256.0,650.0,9.0,0.0,0.0,41.6,132,132,7.0,7.0,9
Sakuna: Of Rice and Ruin,50.0,14.0,4.0,3.45,14.0,2048.0,1275.0,11.15,22.5,49.0,120.0,864,1064,7.0,7.0,11
Penarium,71.0,77.5,2.0,3.4000000000000004,27.0,512.0,850.0,10.05,5.5,11.0,35.2,232,732,0.0,0.0,0
Attack on Titan - Episode 3,36.5,38.5,5.0,3.7,32.0,1024.0,1051.0,11.0,13.5,29.5,67.25,732,1064,25.0,25.0,11
Coffin Dodgers,69.5,55.0,2.0,2.65,32.0,1280.0,947.5,10.55,11.5,25.0,60.650000000000006,132,764,1.5,1.5,9
Poker Night 2,66.5,155.0,1.0,2.1,77.5,768.0,649.0,11.0,2.5,4.5,10.4,132,732,2.0,2.0,9
Beat Me!,70.5,55.0,2.0,2.4,55.0,1024.0,1013.5,11.05,13.0,25.5,64.85,764,1064,4.0,4.0,10
RWR:Z,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Ad Infinitum,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Remnant: From the Ashes - Swamps of Corsus,33.5,27.0,6.0,3.2,23.0,2048.0,1451.0,11.55,28.0,72.5,161.7,764,764,40.0,40.0,11
Dragon Age 3: Inquisition - Jaws of Hakkon,68.5,55.0,4.0,3.15,27.0,512.0,900.0,10.05,11.0,32.0,86.4,764,764,26.0,26.0,10
Delver,36.0,90.0,1.0,1.75,65.0,64.0,215.0,8.05,0.0,0.0,3.45,232,232,0.0,0.0,9
Heal Hitler,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,1064,2.0,2.0,11
Windforge,72.0,65.0,2.0,3.115,45.0,128.0,721.5,10.5,4.0,14.0,23.1,732,764,2.0,2.0,0
Olvand,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
PlayerUnknowns Battlegrounds,0.0,27.0,5.0,3.35,14.0,2048.0,1576.5,12.05,34.5,68.5,145.7,764,1064,30.0,30.0,11
Dark Souls 3,52.5,32.0,4.0,3.7,27.0,2560.0,1300.0,11.15,21.5,66.5,163.2,764,1064,25.0,25.0,11
Reaper: Tale Of A Pale Swordsman,36.0,65.0,2.0,3.015,38.5,384.0,650.0,10.0,4.5,5.5,22.4,732,732,1.0,2.0,9
Nights into Dreams....,72.5,130.0,1.0,2.3,77.5,256.0,600.0,10.05,3.5,5.0,19.200000000000003,132,732,4.0,4.0,9
Otems Defiance,36.5,38.5,3.0,4.15,11.0,512.0,850.0,11.0,4.0,8.0,20.0,732,1064,4.0,5.0,10
Rayman Legends,66.5,90.0,1.0,2.0,77.5,256.0,750.0,9.0,3.0,3.0,48.0,132,132,6.0,6.0,9
Wrestling MPire 2008: Career Edition,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,2.0,2.0,9
Sniper: Ghost Warrior 3,67.0,38.5,2.5,2.95,32.0,2048.0,1351.0,11.1,32.5,89.5,172.95,264,764,50.0,50.0,11
Saints Row: Gat Out Of Hell,67.5,45.0,2.0,2.5,38.5,960.0,999.5,10.5,14.5,41.0,119.95,232,764,10.0,10.0,10
Dog Duty,36.5,38.5,3.0,3.45,23.0,2560.0,1626.0,11.6,33.5,133.5,256.15,732,1064,0.0,0.0,11
Ghost Whisperer: A Brush With Death,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Ultimate Marvel vs Capcom 3,35.5,55.0,2.5,2.93,48.5,960.0,1024.5,10.5,14.5,37.5,123.15,732,764,16.0,16.0,9
Bad North: Jotunn Edition,35.0,30.0,3.0,2.45,33.5,1024.0,975.0,11.5,17.5,36.0,124.8,732,764,0.0,0.0,11
Silent Hill 2021,36.5,38.5,3.0,3.75,27.0,7168.0,2001.0,12.05,62.5,165.0,224.1,764,764,40.0,40.0,11
The Endless Mission,36.5,32.0,5.0,3.35,18.0,2560.0,1376.0,11.1,27.5,93.5,192.1,764,1064,15.0,15.0,11
Vast,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
The Council - Episode 5: Checkmate,52.5,32.0,5.0,3.75,27.0,1536.0,1375.0,11.6,17.0,42.5,88.0,764,1064,15.0,15.0,11
Final Fantasy XIV: Endwalker,36.5,38.5,4.0,3.75,32.0,1536.0,1437.5,11.6,17.5,48.5,92.0,864,864,80.0,80.0,11
YesterMorrow,70.5,55.0,2.0,2.4,55.0,768.0,899.0,11.05,3.0,6.0,21.6,732,1064,2.0,2.0,9
Besiege,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,1.0,10.0,9
DMC: Devil May Cry,71.0,65.0,2.0,2.5,55.0,288.0,811.0,10.05,10.5,11.5,58.25,132,764,9.0,9.0,9
Risk: Global Domination,30.5,55.0,2.0,2.8,55.0,256.0,583.5,10.05,2.5,4.0,12.65,232,1064,0.0,0.0,10
Tropico 5 - Generalissimo,71.0,65.0,2.0,2.35,38.5,1024.0,850.0,11.05,1.5,1.5,27.200000000000003,232,764,4.0,4.0,11
The Dark Pictures: The Devil in Me,0.0,27.0,6.0,3.0,14.0,2048.0,1564.0,12.05,34.5,92.0,144.1,1064,1064,65.0,65.0,11
Stupid Llama,66.5,180.0,1.0,1.98,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Fantasy General II,34.5,38.5,2.0,3.0,32.0,1024.0,1751.0,12.05,33.0,62.5,56.05,764,1064,2.2,2.2,11
World of Warcraft: Shadowlands,0.0,27.0,6.0,3.85,13.0,2048.0,1626.0,11.55,26.5,90.5,152.15,764,1064,100.0,100.0,11
Black Survival: Eternal Return,36.5,55.0,2.0,3.7,32.0,512.0,900.0,10.05,9.5,26.0,57.6,764,1064,5.0,5.0,9
Life is Strange Remastered,33.5,38.5,3.0,3.6,27.0,2048.0,1187.5,11.1,16.5,37.0,76.0,764,1064,14.0,14.0,11
Blackmoor Bay,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
BoneCraft - Somewhere In Some Galaxy,66.5,77.5,2.0,1.85,65.0,384.0,750.0,9.0,0.0,0.0,24.0,132,132,3.0,3.0,9
The Cycle: Frontier,50.0,18.0,4.0,3.4,14.0,2048.0,1451.0,11.15,31.5,86.5,185.75,1064,1064,37.0,37.0,11
Forza Horizon 3,33.5,27.0,6.0,4.15,16.0,2048.0,1376.0,11.55,24.5,77.5,136.15,1064,1064,55.0,55.0,12
Dragon Marked For Death,30.5,180.0,1.0,2.8,55.0,384.0,865.0,10.05,9.5,21.0,48.150000000000006,732,1064,1.0,1.0,9
Steep,52.5,32.0,5.0,3.75,27.0,2048.0,1376.0,11.55,20.5,69.5,112.1,764,764,25.0,25.0,11
Barbarian Brawl,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Madden NFL 22,64.0,21.0,3.0,3.45,27.0,1024.0,1626.0,11.55,25.0,88.5,96.15,1064,1064,50.0,50.0,11
Rise of the Tomb Raider,52.5,32.0,3.0,3.55,18.0,2048.0,1187.5,11.1,16.5,37.0,76.0,764,764,25.0,25.0,11
Dead by Daylight - The Bloodstained Sack,36.5,27.0,5.0,3.15,27.0,1024.0,950.0,11.5,23.5,37.5,121.6,764,764,15.0,0.0,11
Swords n Magic and Stuff,36.5,38.5,3.0,3.45,23.0,1664.0,1075.0,11.05,28.5,49.5,152.8,764,1064,2.0,4.0,11
Re:Turn - One Way Trip,70.0,55.0,2.0,2.85,38.5,256.0,600.0,10.0,2.0,3.0,8.0,164,1064,2.0,2.0,7
Grave Prosperity: Redux,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Eador: Masters Of The Broken World,30.5,155.0,1.0,1.9835,97.5,192.0,266.5,8.55,0.0,0.0,4.25,132,732,2.0,2.0,9
1666 Amsterdam,52.5,32.0,5.0,3.7,27.0,2048.0,1451.0,11.15,27.5,78.5,161.7,764,764,50.0,50.0,11
Ridge Racer Unbounded,0.0,77.5,2.0,2.565,55.0,512.0,1013.0,10.05,11.0,23.0,64.85,132,132,3.0,3.0,9
Faster Than Light,35.5,155.0,1.0,2.2,77.5,256.0,250.0,10.0,2.5,4.0,4.0,132,132,0.0,0.0,9
Doom Eternal,0.0,23.0,4.0,3.5,14.0,3584.0,1501.0,11.6,37.5,85.5,176.05,764,1064,50.0,50.0,11
Borderlands 2,0.0,77.5,2.0,2.565,55.0,256.0,550.0,10.0,2.5,5.0,17.6,132,764,13.0,20.0,9
Brick-Force,35.0,180.0,1.0,2.6,110.0,384.0,350.0,9.5,1.0,2.5,5.6,132,132,2.0,2.0,9
Call of Duty - Black Ops: Escalation,35.0,65.0,2.0,3.115,45.0,384.0,550.0,10.05,4.5,14.0,17.6,132,132,1.5,1.5,9
International Cue Club,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Lego Jurassic World,67.5,77.5,2.0,3.08,45.0,384.0,545.0,9.0,0.0,0.0,28.5,132,764,10.0,10.0,10
Rogue Heist,0.0,27.0,6.0,3.35,14.0,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998,764,1064,7.0,7.0,11
Industry Manager Future Simulator,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,132,764,5.0,5.0,9
Age Of Wushu,66.5,155.0,1.0,2.03,77.5,192.0,550.0,9.0,0.0,0.0,12.8,132,132,10.0,10.0,9
Nix,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Thug III,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Tormentum: Dark Sorrow,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Achtung Panzer: Operation Star - Sokolovo 1943,36.0,155.0,1.0,2.6,90.0,128.0,372.5,9.0,0.0,0.0,9.75,132,132,1.0,1.0,9
Children of the Nile: Alexandria,0.0,180.0,1.0,1.9165,130.0,192.0,137.5,9.0,0.0,0.0,4.4,200,732,1.0,1.0,9
Master Arena,36.5,38.5,3.0,3.75,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,30.0,30.0,9
Trepidation,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Daylight,31.0,77.5,2.0,3.1500000000000004,55.0,768.0,850.0,11.0,3.0,5.5,13.6,764,764,5.0,5.0,11
Galaxy in Turmoil,36.5,38.5,3.0,3.15,27.0,1536.0,1076.0,11.0,6.5,15.0,34.45,764,764,3.0,3.0,11
Meet Your Maker,36.5,14.0,4.0,3.45,18.0,2048.0,1576.5,11.65,36.0,79.5,145.7,1064,1064,20.0,20.0,11
Dynasty Warriors 9,52.5,32.0,5.0,3.45,18.0,2048.0,1451.0,11.55,28.0,72.5,161.7,764,1064,50.0,50.0,11
Deadly Premonition 2: A Blessing in Disguise,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Lucius 2 : The Prophecy,67.5,65.0,2.0,3.08,45.0,960.0,1054.5,10.05,16.0,42.5,125.9,164,764,5.0,5.0,9
Schar: Blue Shield,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Cold Fear,0.0,180.0,1.0,2.0,130.0,64.0,390.0,8.1,0.0,0.0,6.25,200,132,3.0,3.0,9
Craftlands Workshoppe,70.0,38.5,3.0,2.85,38.5,1024.0,1187.5,11.1,16.5,37.0,76.0,1064,1064,1.0,1.0,11
Kingdom,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,832,0.0,0.0,9
Shogun 2: Total War - Fall of the Samurai,67.5,130.0,1.0,2.55,38.5,256.0,325.0,9.5,2.0,2.0,8.4,132,132,22.0,32.0,9
Jalopy,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,732,764,1.0,1.0,9
Eron,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Borderlands 2: Mechromancer,0.0,77.5,2.0,2.565,55.0,256.0,550.0,10.0,2.5,5.0,17.6,132,764,2.0,2.0,9
Starship EVO,0.0,23.0,6.0,3.7,14.0,1536.0,1325.0,11.2,25.5,59.5,129.6,1064,1064,4.0,4.0,11
Dungeons and Dragons RPG,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
State Of Decay 2,36.5,32.0,5.0,3.6,27.0,2048.0,1351.0,11.1,32.5,89.5,172.95,1064,1064,16.0,16.0,11
Block Multiplayer: RPG,36.5,14.0,4.0,3.55,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,264,1064,3.0,3.0,10
Angry Video Game Nerd Adventures,66.5,180.0,1.0,1.95,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Atomicrops,35.0,30.0,3.0,2.45,33.5,1024.0,1037.5,11.0,17.5,31.5,116.4,764,1064,1.0,1.0,11
Batman: Arkham Origins - Cold Cold Heart,67.5,65.0,2.0,3.03,45.0,640.0,915.5,10.55,18.5,28.0,90.6,232,764,15.0,15.0,10
Farm Manager 2021,36.5,32.0,6.0,3.7,32.0,4096.0,1826.0,12.05,46.0,123.5,169.64999999999998,764,1064,8.0,8.0,11
